var_name,var_name_raw,dataset_id,year
BECADAREA,becadareal1ad,BEC_L1AD,9999
BECADCRCTYAVG,becadcrctyavgl1ad,BEC_L1AD,9999
BECADINTDENS,becadintdensl1ad,BEC_L1AD,9999
BECADINTDENS3,becadintdens3l1ad,BEC_L1AD,9999
BECADINTDENS4,becadintdens4l1ad,BEC_L1AD,9999
BECADLRDENS,becadlrdensl1ad,BEC_L1AD,9999
BECADSTTDENS,becadsttdensl1ad,BEC_L1AD,9999
BECADSTTLGAVG,becadsttlgavgl1ad,BEC_L1AD,9999
BECADSTTPNODEAVG,becadsttpnodeavgl1ad,BEC_L1AD,9999
BECADSTTPNODESD,becadsttpnodesdl1ad,BEC_L1AD,9999
BECAERTRAMLNGTH,becaertramlngthl1ad,BEC_L1AD,9999
BECAVGPTCHAREA,becavgptchareal1ad,BEC_L1AD,9999
BECAWAVGPTCHAREA,becawavgptchareal1ad,BEC_L1AD,9999
BECAWEDGDENS,becawedgdensl1ad,BEC_L1AD,9999
BECAWMNNNGH,becawmnnnghl1ad,BEC_L1AD,9999
BECAWMNSHPINDX,becawmnshpindxl1ad,BEC_L1AD,9999
BECBRTLNGTH,becbrtlngthl1ad,BEC_L1AD,9999
BECBRTPRCTRIP,becbrtprctripl1ad,BEC_L1AD,9999
BECBYLANELNGTH,becbylanelngthl1ad,BEC_L1AD,9999
BECCITYAGE,beccityagel1ad,BEC_L1AD,9999
BECCOAST,beccoastl1ad,BEC_L1AD,9999
BECCVPTCHAREA,beccvptchareal1ad,BEC_L1AD,9999
BECCZ,becczl1ad,BEC_L1AD,9999
BECDEMBRT,becdembrtl1ad,BEC_L1AD,9999
BECEDGDENS,becedgdensl1ad,BEC_L1AD,9999
BECEFFMESHSIZE,beceffmeshsizel1ad,BEC_L1AD,9999
BECELEVATIONMAX,becelevationmaxl1ad,BEC_L1AD,9999
BECELEVATIONMEDIAN,becelevationmedianl1ad,BEC_L1AD,9999
BECELEVATIONMIN,becelevationminl1ad,BEC_L1AD,9999
BECELEVATIONP25,becelevationp25l1ad,BEC_L1AD,9999
BECELEVATIONP75,becelevationp75l1ad,BEC_L1AD,9999
BECELEVATIONSTD,becelevationstdl1ad,BEC_L1AD,9999
BECELEVATIOVE,becelevatiovel1ad,BEC_L1AD,9999
BECERRORWP,becerrorwp2010l1ad,BEC_L1AD,2010
BECGASPRICE,becgaspricel1ad,BEC_L1AD,9999
BECGASPRICEADJ,becgaspriceadjl1ad,BEC_L1AD,9999
BECGSAVGPTCHAREA,becgsavgptchareal1ad,BEC_L1AD,9999
BECGSAWAVGPTCHAREA,becgsawavgptchareal1ad,BEC_L1AD,9999
BECGSAWMNNNGH,becgsawmnnnghl1ad,BEC_L1AD,9999
BECGSAWMNSHPINDX,becgsawmnshpindxl1ad,BEC_L1AD,9999
BECGSCLUMP,becgsclumpl1ad,BEC_L1AD,9999
BECGSCOHESION,becgscohesionl1ad,BEC_L1AD,9999
BECGSEDGDENDS,becgsedgdendsl1ad,BEC_L1AD,9999
BECGSMNNNGH,becgsmnnnghl1ad,BEC_L1AD,9999
BECGSMNSHPINDX,becgsmnshpindxl1ad,BEC_L1AD,9999
BECGSNPTCH,becgsnptchl1ad,BEC_L1AD,9999
BECGSPCT,becgspctl1ad,BEC_L1AD,9999
BECGSPTCHDENS,becgsptchdensl1ad,BEC_L1AD,9999
BECMAXNDVINW,becmaxndvinw2000l1ad,BEC_L1AD,2000
BECMAXNDVINW,becmaxndvinw2001l1ad,BEC_L1AD,2001
BECMAXNDVINW,becmaxndvinw2002l1ad,BEC_L1AD,2002
BECMAXNDVINW,becmaxndvinw2003l1ad,BEC_L1AD,2003
BECMAXNDVINW,becmaxndvinw2004l1ad,BEC_L1AD,2004
BECMAXNDVINW,becmaxndvinw2005l1ad,BEC_L1AD,2005
BECMAXNDVINW,becmaxndvinw2006l1ad,BEC_L1AD,2006
BECMAXNDVINW,becmaxndvinw2007l1ad,BEC_L1AD,2007
BECMAXNDVINW,becmaxndvinw2008l1ad,BEC_L1AD,2008
BECMAXNDVINW,becmaxndvinw2009l1ad,BEC_L1AD,2009
BECMAXNDVINW,becmaxndvinw2010l1ad,BEC_L1AD,2010
BECMAXNDVINW,becmaxndvinw2011l1ad,BEC_L1AD,2011
BECMAXNDVINW,becmaxndvinw2012l1ad,BEC_L1AD,2012
BECMAXNDVINW,becmaxndvinw2013l1ad,BEC_L1AD,2013
BECMAXNDVINW,becmaxndvinw2014l1ad,BEC_L1AD,2014
BECMAXNDVINW,becmaxndvinw2015l1ad,BEC_L1AD,2015
BECMAXNDVINW,becmaxndvinw2016l1ad,BEC_L1AD,2016
BECMAXNDVINW,becmaxndvinw2017l1ad,BEC_L1AD,2017
BECMAXNDVINW,becmaxndvinw2018l1ad,BEC_L1AD,2018
BECMEDNDVINW,becmedndvinw2000l1ad,BEC_L1AD,2000
BECMEDNDVINW,becmedndvinw2001l1ad,BEC_L1AD,2001
BECMEDNDVINW,becmedndvinw2002l1ad,BEC_L1AD,2002
BECMEDNDVINW,becmedndvinw2003l1ad,BEC_L1AD,2003
BECMEDNDVINW,becmedndvinw2004l1ad,BEC_L1AD,2004
BECMEDNDVINW,becmedndvinw2005l1ad,BEC_L1AD,2005
BECMEDNDVINW,becmedndvinw2006l1ad,BEC_L1AD,2006
BECMEDNDVINW,becmedndvinw2007l1ad,BEC_L1AD,2007
BECMEDNDVINW,becmedndvinw2008l1ad,BEC_L1AD,2008
BECMEDNDVINW,becmedndvinw2009l1ad,BEC_L1AD,2009
BECMEDNDVINW,becmedndvinw2010l1ad,BEC_L1AD,2010
BECMEDNDVINW,becmedndvinw2011l1ad,BEC_L1AD,2011
BECMEDNDVINW,becmedndvinw2012l1ad,BEC_L1AD,2012
BECMEDNDVINW,becmedndvinw2013l1ad,BEC_L1AD,2013
BECMEDNDVINW,becmedndvinw2014l1ad,BEC_L1AD,2014
BECMEDNDVINW,becmedndvinw2015l1ad,BEC_L1AD,2015
BECMEDNDVINW,becmedndvinw2016l1ad,BEC_L1AD,2016
BECMEDNDVINW,becmedndvinw2017l1ad,BEC_L1AD,2017
BECMEDNDVINW,becmedndvinw2018l1ad,BEC_L1AD,2018
BECMINWAGE,becminwagel1ad,BEC_L1AD,9999
BECNUMBRTUS,becnumbrtusl1ad,BEC_L1AD,9999
BECNURBPTCH,becnurbptchl1ad,BEC_L1AD,9999
BECOPSTTSYSLNGTH,becopsttsyslngthl1ad,BEC_L1AD,9999
BECPAYCAPBRT,becpaycapbrtl1ad,BEC_L1AD,9999
BECPAYCAPSUB,becpaycapsubl1ad,BEC_L1AD,9999
BECPCTPERMWATER,becpctpermwater2000l1ad,BEC_L1AD,2000
BECPCTPERMWATER,becpctpermwater2001l1ad,BEC_L1AD,2001
BECPCTPERMWATER,becpctpermwater2002l1ad,BEC_L1AD,2002
BECPCTPERMWATER,becpctpermwater2003l1ad,BEC_L1AD,2003
BECPCTPERMWATER,becpctpermwater2004l1ad,BEC_L1AD,2004
BECPCTPERMWATER,becpctpermwater2005l1ad,BEC_L1AD,2005
BECPCTPERMWATER,becpctpermwater2006l1ad,BEC_L1AD,2006
BECPCTPERMWATER,becpctpermwater2007l1ad,BEC_L1AD,2007
BECPCTPERMWATER,becpctpermwater2008l1ad,BEC_L1AD,2008
BECPCTPERMWATER,becpctpermwater2009l1ad,BEC_L1AD,2009
BECPCTPERMWATER,becpctpermwater2010l1ad,BEC_L1AD,2010
BECPCTPERMWATER,becpctpermwater2011l1ad,BEC_L1AD,2011
BECPCTPERMWATER,becpctpermwater2012l1ad,BEC_L1AD,2012
BECPCTPERMWATER,becpctpermwater2013l1ad,BEC_L1AD,2013
BECPCTPERMWATER,becpctpermwater2014l1ad,BEC_L1AD,2014
BECPCTPERMWATER,becpctpermwater2015l1ad,BEC_L1AD,2015
BECPCTPERMWATER,becpctpermwater2016l1ad,BEC_L1AD,2016
BECPCTPERMWATER,becpctpermwater2017l1ad,BEC_L1AD,2017
BECPCTPERMWATER,becpctpermwater2018l1ad,BEC_L1AD,2018
BECPCTSEASONWATER,becpctseasonwater2000l1ad,BEC_L1AD,2000
BECPCTSEASONWATER,becpctseasonwater2001l1ad,BEC_L1AD,2001
BECPCTSEASONWATER,becpctseasonwater2002l1ad,BEC_L1AD,2002
BECPCTSEASONWATER,becpctseasonwater2003l1ad,BEC_L1AD,2003
BECPCTSEASONWATER,becpctseasonwater2004l1ad,BEC_L1AD,2004
BECPCTSEASONWATER,becpctseasonwater2005l1ad,BEC_L1AD,2005
BECPCTSEASONWATER,becpctseasonwater2006l1ad,BEC_L1AD,2006
BECPCTSEASONWATER,becpctseasonwater2007l1ad,BEC_L1AD,2007
BECPCTSEASONWATER,becpctseasonwater2008l1ad,BEC_L1AD,2008
BECPCTSEASONWATER,becpctseasonwater2009l1ad,BEC_L1AD,2009
BECPCTSEASONWATER,becpctseasonwater2010l1ad,BEC_L1AD,2010
BECPCTSEASONWATER,becpctseasonwater2011l1ad,BEC_L1AD,2011
BECPCTSEASONWATER,becpctseasonwater2012l1ad,BEC_L1AD,2012
BECPCTSEASONWATER,becpctseasonwater2013l1ad,BEC_L1AD,2013
BECPCTSEASONWATER,becpctseasonwater2014l1ad,BEC_L1AD,2014
BECPCTSEASONWATER,becpctseasonwater2015l1ad,BEC_L1AD,2015
BECPCTSEASONWATER,becpctseasonwater2016l1ad,BEC_L1AD,2016
BECPCTSEASONWATER,becpctseasonwater2017l1ad,BEC_L1AD,2017
BECPCTSEASONWATER,becpctseasonwater2018l1ad,BEC_L1AD,2018
BECPCTURBAN,becpcturbanl1ad,BEC_L1AD,9999
BECPERCAPCO2,becpercapco2l1ad,BEC_L1AD,9999
BECPOPCONC,becpopconcl1ad,BEC_L1AD,9999
BECPOPDENS,becpopdens2000l1ad,BEC_L1AD,2000
BECPOPDENS,becpopdens2001l1ad,BEC_L1AD,2001
BECPOPDENS,becpopdens2002l1ad,BEC_L1AD,2002
BECPOPDENS,becpopdens2003l1ad,BEC_L1AD,2003
BECPOPDENS,becpopdens2004l1ad,BEC_L1AD,2004
BECPOPDENS,becpopdens2005l1ad,BEC_L1AD,2005
BECPOPDENS,becpopdens2006l1ad,BEC_L1AD,2006
BECPOPDENS,becpopdens2007l1ad,BEC_L1AD,2007
BECPOPDENS,becpopdens2008l1ad,BEC_L1AD,2008
BECPOPDENS,becpopdens2009l1ad,BEC_L1AD,2009
BECPOPDENS,becpopdens2010l1ad,BEC_L1AD,2010
BECPOPDENS,becpopdens2011l1ad,BEC_L1AD,2011
BECPOPDENS,becpopdens2012l1ad,BEC_L1AD,2012
BECPOPDENS,becpopdens2013l1ad,BEC_L1AD,2013
BECPOPDENS,becpopdens2014l1ad,BEC_L1AD,2014
BECPOPDENS,becpopdens2015l1ad,BEC_L1AD,2015
BECPOPDENS,becpopdens2016l1ad,BEC_L1AD,2016
BECPOPDENS,becpopdens2017l1ad,BEC_L1AD,2017
BECPOPDENS,becpopdens2018l1ad,BEC_L1AD,2018
BECPOPDENS,becpopdens2019l1ad,BEC_L1AD,2019
BECPOPDENS,becpopdens2020l1ad,BEC_L1AD,2020
BECPRSAERTRAM,becprsaertraml1ad,BEC_L1AD,9999
BECPRSBRT,becprsbrtl1ad,BEC_L1AD,9999
BECPRSSUBWAY,becprssubwayl1ad,BEC_L1AD,9999
BECPTCHDENS,becptchdensl1ad,BEC_L1AD,9999
BECSLOPEAVE,becslopeavel1ad,BEC_L1AD,9999
BECSLOPEMAX,becslopemaxl1ad,BEC_L1AD,9999
BECSLOPEMEDIAN,becslopemedianl1ad,BEC_L1AD,9999
BECSLOPEMIN,becslopeminl1ad,BEC_L1AD,9999
BECSLOPEP25,becslopep25l1ad,BEC_L1AD,9999
BECSLOPEP75,becslopep75l1ad,BEC_L1AD,9999
BECSLOPESTD,becslopestdl1ad,BEC_L1AD,9999
BECSTTP,becsttpl1ad,BEC_L1AD,9999
BECSUBWAYLNGTH,becsubwaylngthl1ad,BEC_L1AD,9999
BECSUBWAYPRCTRIP,becsubwayprctripl1ad,BEC_L1AD,9999
BECSUPBIKEFAC,becsupbikefacl1ad,BEC_L1AD,9999
BECSUPBRT,becsupbrtl1ad,BEC_L1AD,9999
BECSUPSUB,becsupsubl1ad,BEC_L1AD,9999
BECTGSAREA,bectgsareal1ad,BEC_L1AD,9999
BECTOTCO2,bectotco2l1ad,BEC_L1AD,9999
BECTPOP,bectpop2000l1ad,BEC_L1AD,2000
BECTPOP,bectpop2001l1ad,BEC_L1AD,2001
BECTPOP,bectpop2002l1ad,BEC_L1AD,2002
BECTPOP,bectpop2003l1ad,BEC_L1AD,2003
BECTPOP,bectpop2004l1ad,BEC_L1AD,2004
BECTPOP,bectpop2005l1ad,BEC_L1AD,2005
BECTPOP,bectpop2006l1ad,BEC_L1AD,2006
BECTPOP,bectpop2007l1ad,BEC_L1AD,2007
BECTPOP,bectpop2008l1ad,BEC_L1AD,2008
BECTPOP,bectpop2009l1ad,BEC_L1AD,2009
BECTPOP,bectpop2010l1ad,BEC_L1AD,2010
BECTPOP,bectpop2011l1ad,BEC_L1AD,2011
BECTPOP,bectpop2012l1ad,BEC_L1AD,2012
BECTPOP,bectpop2013l1ad,BEC_L1AD,2013
BECTPOP,bectpop2014l1ad,BEC_L1AD,2014
BECTPOP,bectpop2015l1ad,BEC_L1AD,2015
BECTPOP,bectpop2016l1ad,BEC_L1AD,2016
BECTPOP,bectpop2017l1ad,BEC_L1AD,2017
BECTPOP,bectpop2018l1ad,BEC_L1AD,2018
BECTPOP,bectpop2019l1ad,BEC_L1AD,2019
BECTPOP,bectpop2020l1ad,BEC_L1AD,2020
BECTUAREA,bectuareal1ad,BEC_L1AD,9999
BECURBLANDP,becurblandpl1ad,BEC_L1AD,9999
